Date,Visitor,PTS_Visitor,Home,PTS_Home,Box_Score,OT,Winner
2024-01-23,Portland Trail Blazers,109,Oklahoma City Thunder,111,/boxscores/202401230OKC.html,,Oklahoma City Thunder
2024-01-23,Los Angeles Lakers,116,Los Angeles Clippers,127,/boxscores/202401230LAC.html,,Los Angeles Clippers
2024-01-24,Charlotte Hornets,106,Detroit Pistons,113,/boxscores/202401240DET.html,,Detroit Pistons
2024-01-24,Minnesota Timberwolves,118,Washington Wizards,107,/boxscores/202401240WAS.html,,Minnesota Timberwolves
2024-01-24,Memphis Grizzlies,105,Miami Heat,96,/boxscores/202401240MIA.html,,Memphis Grizzlies
2024-01-24,Portland Trail Blazers,137,Houston Rockets,131,/boxscores/202401240HOU.html,OT,Portland Trail Blazers
2024-01-24,Cleveland Cavaliers,116,Milwaukee Bucks,126,/boxscores/202401240MIL.html,,Milwaukee Bucks
2024-01-24,Phoenix Suns,132,Dallas Mavericks,109,/boxscores/202401240DAL.html,,Phoenix Suns
2024-01-24,Oklahoma City Thunder,140,San Antonio Spurs,114,/boxscores/202401240SAS.html,,Oklahoma City Thunder
2024-01-24,Atlanta Hawks,112,Golden State Warriors,134,/boxscores/202401240GSW.html,,Golden State Warriors
2024-01-25,Philadelphia 76ers,122,Indiana Pacers,134,/boxscores/202401250IND.html,,Indiana Pacers
2024-01-25,Utah Jazz,123,Washington Wizards,108,/boxscores/202401250WAS.html,,Utah Jazz
2024-01-25,Minnesota Timberwolves,96,Brooklyn Nets,94,/boxscores/202401250BRK.html,,Minnesota Timberwolves
2024-01-25,Boston Celtics,143,Miami Heat,110,/boxscores/202401250MIA.html,,Boston Celtics
2024-01-25,Denver Nuggets,84,New York Knicks,122,/boxscores/202401250NYK.html,,New York Knicks
2024-01-25,Sacramento Kings,134,Golden State Warriors,133,/boxscores/202401250GSW.html,,Sacramento Kings
2024-01-25,Chicago Bulls,132,Los Angeles Lakers,141,/boxscores/202401250LAL.html,,Los Angeles Lakers
2024-01-26,Dallas Mavericks,148,Atlanta Hawks,143,/boxscores/202401260ATL.html,,Dallas Mavericks
2024-01-26,Houston Rockets,138,Charlotte Hornets,104,/boxscores/202401260CHO.html,,Houston Rockets
2024-01-26,Phoenix Suns,131,Indiana Pacers,133,/boxscores/202401260IND.html,,Indiana Pacers
2024-01-26,Los Angeles Clippers,127,Toronto Raptors,107,/boxscores/202401260TOR.html,,Los Angeles Clippers
2024-01-26,Orlando Magic,106,Memphis Grizzlies,107,/boxscores/202401260MEM.html,,Memphis Grizzlies
2024-01-26,Cleveland Cavaliers,112,Milwaukee Bucks,100,/boxscores/202401260MIL.html,,Cleveland Cavaliers
2024-01-26,Oklahoma City Thunder,107,New Orleans Pelicans,83,/boxscores/202401260NOP.html,,Oklahoma City Thunder
2024-01-26,Portland Trail Blazers,100,San Antonio Spurs,116,/boxscores/202401260SAS.html,,San Antonio Spurs
2024-01-27,Washington Wizards,118,Detroit Pistons,104,/boxscores/202401270DET.html,,Washington Wizards
2024-01-27,Miami Heat,109,New York Knicks,125,/boxscores/202401270NYK.html,,New York Knicks
2024-01-27,Philadelphia 76ers,105,Denver Nuggets,111,/boxscores/202401270DEN.html,,Denver Nuggets
2024-01-27,Houston Rockets,104,Brooklyn Nets,106,/boxscores/202401270BRK.html,,Brooklyn Nets
2024-01-27,Los Angeles Clippers,115,Boston Celtics,96,/boxscores/202401270BOS.html,,Los Angeles Clippers
2024-01-27,Utah Jazz,134,Charlotte Hornets,122,/boxscores/202401270CHO.html,,Utah Jazz
2024-01-27,New Orleans Pelicans,117,Milwaukee Bucks,141,/boxscores/202401270MIL.html,,Milwaukee Bucks
2024-01-27,Los Angeles Lakers,145,Golden State Warriors,144,/boxscores/202401270GSW.html,2OT,Los Angeles Lakers
2024-01-27,Minnesota Timberwolves,112,San Antonio Spurs,113,/boxscores/202401270SAS.html,,San Antonio Spurs
2024-01-27,Sacramento Kings,120,Dallas Mavericks,115,/boxscores/202401270DAL.html,,Sacramento Kings
2024-01-28,Oklahoma City Thunder,104,Detroit Pistons,120,/boxscores/202401280DET.html,,Detroit Pistons
2024-01-28,Memphis Grizzlies,110,Indiana Pacers,116,/boxscores/202401280IND.html,,Indiana Pacers
